,EASTERN REGION,,,,METROPOLITAN NORTH WEST REGION,,,,METROPOLITAN SOUTH EAST REGION,,,,NORTH EASTERN REGION,,,,NORTHERN REGION,,,,SOUTH WESTERN REGION,,,,WESTERN REGION,,,
DATE,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER,FATAL,SERIOUS,NOINJURY,OTHER
29/05/2016,0,0,0,0,0,3,0,7,0,6,0,3,0,0,0,1,0,1,0,1,1,0,0,3,1,1,0,2
30/05/2016,0,1,0,0,0,12,0,13,0,6,0,11,1,0,0,0,1,0,0,4,0,2,0,1,0,0,0,1
31/05/2016,0,1,0,2,0,7,0,20,0,9,0,14,0,3,0,0,0,1,0,0,0,0,0,2,0,0,0,2
1/06/2016,0,0,0,1,0,9,0,12,0,6,0,8,1,1,0,0,0,1,0,2,0,3,0,2,0,1,0,1
2/06/2016,0,1,0,0,0,13,0,17,0,9,0,14,0,3,0,2,0,1,0,0,0,1,0,3,0,1,0,2
3/06/2016,0,1,0,3,0,3,0,18,0,9,0,18,0,3,0,1,0,0,0,0,0,1,0,3,0,0,0,2
4/06/2016,0,0,0,4,0,11,0,14,0,11,0,11,0,1,0,2,0,0,0,4,0,3,0,2,0,0,0,1
5/06/2016,0,0,0,3,1,8,0,9,0,10,0,5,0,1,0,0,0,1,0,0,0,2,0,1,0,1,0,1
6/06/2016,1,1,0,1,0,5,0,6,0,10,0,12,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,4
7/06/2016,0,0,0,1,0,2,0,15,0,8,0,7,0,3,0,1,0,0,0,3,0,1,0,3,0,2,0,3
8/06/2016,0,1,0,0,0,5,0,10,1,6,0,7,0,1,0,3,0,1,0,2,0,1,0,3,0,1,0,2
9/06/2016,0,0,0,3,0,10,0,10,0,5,0,12,0,0,0,0,0,1,0,2,0,1,0,2,0,1,0,4
10/06/2016,1,0,0,3,0,7,0,8,0,8,0,8,0,0,0,2,0,2,0,3,0,0,0,0,0,2,0,2
11/06/2016,1,1,0,1,1,6,0,5,0,6,0,8,0,0,0,2,0,1,0,2,0,1,0,1,0,2,0,4
12/06/2016,0,0,0,5,0,6,0,4,0,7,0,5,1,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2
13/06/2016,0,2,0,1,0,6,0,5,0,5,0,7,1,4,0,3,0,1,0,3,0,0,0,4,0,1,0,5
14/06/2016,0,1,0,0,0,7,0,8,0,5,0,8,0,0,0,1,0,0,0,2,0,1,0,2,0,1,0,2
15/06/2016,0,1,0,2,0,5,0,16,1,15,0,9,0,0,0,1,0,0,0,1,0,5,0,1,0,2,0,1
16/06/2016,0,1,0,3,1,5,0,12,0,4,0,9,0,0,0,1,0,3,0,2,0,0,0,2,0,1,0,2
17/06/2016,0,1,0,4,0,9,0,14,0,3,0,12,0,1,0,0,0,2,0,1,0,3,0,2,0,0,0,0
18/06/2016,0,2,0,2,0,5,0,11,1,4,0,8,0,1,0,0,0,0,0,1,0,0,0,1,0,1,0,1
19/06/2016,0,1,0,0,0,3,0,8,0,4,0,4,0,1,0,2,0,0,0,3,0,0,0,1,0,1,0,1
20/06/2016,0,0,0,3,1,4,0,9,1,7,0,10,0,0,0,1,0,0,0,1,0,2,0,0,0,0,0,0
21/06/2016,0,0,0,1,0,4,0,16,0,7,0,6,0,1,0,0,0,3,0,1,0,1,0,7,0,1,0,2
22/06/2016,0,0,0,1,1,6,0,11,0,8,0,11,0,0,0,0,0,0,0,1,0,1,0,3,0,1,0,1
23/06/2016,0,0,0,1,1,9,0,9,0,9,0,13,0,2,0,2,0,3,0,1,0,1,0,2,0,0,0,1
24/06/2016,0,1,0,3,0,4,0,12,0,7,0,14,0,0,0,1,0,0,0,4,0,0,0,2,0,1,0,2
25/06/2016,0,2,0,4,0,2,0,10,0,4,0,9,1,2,0,1,0,1,0,2,0,0,0,0,1,3,0,3
26/06/2016,0,3,0,2,0,8,0,4,0,4,0,5,0,2,0,1,0,2,0,2,1,0,0,3,0,1,0,1
27/06/2016,0,1,0,1,1,6,0,5,0,8,0,13,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0
28/06/2016,0,0,0,0,1,6,0,9,0,6,0,6,0,0,0,0,0,2,0,0,0,0,0,3,0,0,0,1
29/06/2016,0,1,0,3,0,4,0,4,0,7,0,12,0,1,0,0,0,2,0,0,0,1,0,2,0,1,0,0
30/06/2016,0,0,0,1,0,2,0,12,0,3,0,4,0,1,0,2,0,0,0,2,0,2,0,2,0,2,0,1
1/07/2016,0,1,0,2,0,5,0,9,0,5,0,8,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
2/07/2016,0,1,0,1,0,6,0,7,0,5,0,9,1,0,0,0,0,0,0,2,0,1,0,1,0,2,0,4
3/07/2016,0,2,0,2,0,2,0,6,0,7,0,5,0,2,0,1,0,0,0,1,0,1,0,3,0,0,0,0
4/07/2016,0,0,0,0,0,9,0,14,0,7,0,4,0,1,0,1,0,0,0,0,0,2,0,2,0,0,0,0
5/07/2016,0,1,0,3,0,6,0,9,0,4,0,13,1,0,0,1,0,0,0,0,0,2,0,2,0,0,0,3
6/07/2016,0,0,0,3,0,7,0,15,1,6,0,8,0,0,0,2,0,2,0,1,0,0,0,0,0,1,0,2
7/07/2016,0,2,0,2,0,5,0,11,0,4,0,10,0,4,0,1,0,2,0,2,0,3,0,2,0,0,0,4
8/07/2016,0,1,0,1,0,7,0,13,0,2,0,7,0,1,0,0,0,0,0,2,1,2,0,4,0,0,0,2
9/07/2016,0,3,0,1,0,6,0,8,0,3,0,10,0,1,0,0,0,2,0,3,0,0,0,3,0,0,0,2
